url,is mobile friendly,errors
http://cs-courses.mines.edu/csci303/,N,USE_LEGIBLE_FONT_SIZES /CONFIGURE_VIEWPORT /TAP_TARGETS_TOO_CLOSE /
http://cs-courses.mines.edu/csci303/index.shtml,N,CONFIGURE_VIEWPORT /USE_LEGIBLE_FONT_SIZES /TAP_TARGETS_TOO_CLOSE /
